TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output			9.9	-1	2.5	-9.9
293.32	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.33	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.34	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.35	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.36	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.37	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.38	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.39	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.4	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.41	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
