TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output		TimeStamp	Position	Reference
61.21	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.21	0	0.001526
61.22	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.22	0	0.001526
61.23	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.23	0	0.001526
61.24	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.24	0	0.001526
61.25	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.25	0	0.001526
61.26	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.26	0	0.001526
61.27	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.27	0	0.001526
61.28	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.28	0	0.001526
61.28	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.28	0	0.001526
61.29	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.29	0	0.001526
61.3	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.3	0	0.001526
61.31	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.31	0	0.001526
61.32	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.32	0	0.001526
61.33	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.33	0	0.001526
61.34	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.34	0	0.001526
61.35	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.35	0	0.001526
61.36	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.36	0	0.001526
61.37	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.37	0	0.001526
61.38	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.38	0	0.001526
61.39	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.39	0	0.001526
61.4	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.4	0	0.001526
